x;Own;IntentToBuy;BrandAwareness_Anker;BrandAwareness_Bose;BrandAwareness_JBL;BrandAwareness_Philips;BrandAwareness_Sony;BrandAwareness_UE;BrandAwareness_HarmanKardon;BrandAwareness_Beats;BrandAwareness_None;SubjKnow_r1;SubjKnow_r2;SubjKnow_r3;SubjKnow_r4;SubjKnow_r5;PII_1;PII_2;PII_3;PII_4;PII_5;RelImp_battery;RelImp_weight;RelImp_price;RelImp_sound;Gender;Age;Occupation;Education;Income;brand_awareness;fa;fa2;factor_price.sound;factor_battery;factor_weight;factor_age.occupation.income.education;clusters
29;0;0;0;0;0;0;0;0;0;0;1;2;3;2;5;4;2;3;3;2;3;5;5;30;60;2;3;3;2;2;1;-0.460037753;-1.264433711;-0.639257417;-1.47040572;-0.713703791;-0.5977246;4
30;1;0;0;0;0;1;1;0;0;0;0;6;6;6;6;6;5;7;6;5;5;20;20;40;20;1;3;3;3;2;3;1.376409494;1.005177038;0.871004558;-0.234288718;0.86070695;-0.440872628;1
31;0;0;0;1;0;0;0;0;0;0;0;1;2;1;2;2;1;2;1;1;4;10;10;70;10;2;3;3;3;2;2;-1.483831827;-2.021787283;2.258165857;-1.013013521;-0.193308099;-0.440872628;4
32;0;0;0;1;1;0;0;0;0;1;0;2;3;3;4;3;4;4;3;3;3;15;5;20;60;1;2;3;4;1;4;-0.688818839;-0.628751433;-0.998185975;-0.704625553;-0.695639564;-0.700611317;1
33;0;0;0;1;1;0;0;1;1;1;0;6;7;2;7;7;4;4;4;2;4;25;15;35;25;2;3;3;4;2;6;1.534269846;-0.580141845;0.552746845;0.129759993;0.352965804;-0.284020656;4
34;1;0;0;1;1;1;1;0;0;1;0;5;5;2;5;5;2;3;3;2;3;30;5;15;50;2;2;3;4;3;6;0.539000576;-1.264433711;-0.883669009;0.456413752;-0.669745375;-0.249879619;4
35;0;1;0;0;0;0;0;0;0;0;1;2;3;2;4;2;4;4;4;4;4;35;10;5;50;1;3;1;4;5;1;-0.959995856;-0.213593357;-1.250794757;0.85196068;-0.143338927;1.025701051;3
36;0;0;0;0;0;0;0;0;0;0;1;4;5;4;5;5;4;4;4;4;4;15;0;75;10;2;2;3;4;3;1;0.474685124;-0.213593357;2.454024515;-0.655437128;-1.219024656;-0.249879619;4
37;0;0;0;0;0;1;1;0;0;1;0;4;3;2;4;2;5;4;4;5;4;20;20;20;40;1;3;4;4;1;4;-0.585271707;0.113565921;-0.434815051;-0.259026826;0.863111253;-0.826198584;1
38;1;1;0;1;1;0;1;0;1;1;0;4;4;3;6;5;4;4;4;4;4;40;10;20;30;2;3;3;4;7;6;0.380163306;-0.213593357;-0.124439427;1.259588872;-0.136711116;0.842808588;2
