"","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","Age","Occupation","Education","Income","brand_awareness","fa","fa2","factor_price.sound","factor_battery","factor_weight","factor_age.occupation.income.education","clusters"
"25",0,0,0,1,1,0,0,0,0,0,0,2,2,2,4,2,4,2,5,4,5,40,10,30,20,2,2,3,2,1,3,-1.07364505571057,-0.310985458362349,0.528470377027891,1.27195792584271,-0.137913267234553,-0.928166497430931,4
"26",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,3,5,50,5,20,25,1,3,3,4,2,1,-1.88778542459224,-0.970946928725876,0.0307483843399682,2.01889672099706,-0.636622300284547,-0.0444729883548764,1
"27",0,1,0,1,1,0,1,0,0,1,0,5,5,4,6,6,5,6,6,4,5,10,50,20,20,1,2,3,4,2,5,0.952351597058715,0.657264827365879,0.103964307674609,-0.924127815849088,3.94688873581771,-0.37550625064719,2
"29",0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,4,2,3,3,2,3,5,5,30,60,2,3,3,2,2,1,-0.460037752654046,-1.26443371147266,-0.639257416537679,-1.47040571966147,-0.713703790719179,-0.396070850264865,4
"30",1,0,0,0,0,1,1,0,0,0,0,6,6,6,6,6,5,7,6,5,5,20,20,40,20,1,3,3,3,2,3,1.37640949422286,1.00517703753354,0.871004558087026,-0.234288718419493,0.860706950182681,-0.220271919309871,1
"31",0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,2,1,2,1,1,4,10,10,70,10,2,3,3,3,2,2,-1.483831827086,-2.0217872827753,2.25816585749849,-1.013013521418,-0.193308098581795,-0.220271919309871,4
"32",0,0,0,1,1,0,0,0,0,1,0,2,3,3,4,3,4,4,3,3,3,15,5,20,60,1,2,3,4,1,4,-0.68881883925292,-0.628751432985292,-0.998185975255643,-0.704625552590072,-0.695639564042513,-0.576568635520943,1
"33",0,0,0,1,1,0,0,1,1,1,0,6,7,2,7,7,4,4,4,2,4,25,15,35,25,2,3,3,4,2,6,1.53426984568618,-0.580141845091546,0.552746844758085,0.129759993199159,0.352965803794354,-0.0444729883548764,4
"34",1,0,0,1,1,1,1,0,0,1,0,5,5,2,5,5,2,3,3,2,3,30,5,15,50,2,2,3,4,3,6,0.539000575927646,-1.26443371147266,-0.883669009015879,0.456413751970522,-0.669745375344762,-0.174443865773437,4
"35",0,1,0,0,0,0,0,0,0,0,1,2,3,2,4,2,4,4,4,4,4,35,10,5,50,1,3,1,4,5,1,-0.959995856313931,-0.213593357423234,-1.25079475656326,0.851960680446523,-0.143338926621147,0.558714166266382,2
"36",0,0,0,0,0,0,0,0,0,0,1,4,5,4,5,5,4,4,4,4,4,15,0,75,10,2,2,3,4,3,1,0.474685124203065,-0.213593357423234,2.45402451451631,-0.655437127762903,-1.21902465601403,-0.174443865773437,4
"37",0,0,0,0,0,1,1,0,0,1,0,4,3,2,4,2,5,4,4,5,4,20,20,20,40,1,3,4,4,1,4,-0.585271706821842,0.113565920570775,-0.434815050546395,-0.259026826326481,0.863111252817173,-0.245535373228629,1
"38",1,1,0,1,1,0,1,0,1,1,0,4,4,3,6,5,4,4,4,4,4,40,10,20,30,2,3,3,4,7,6,0.38016330585502,-0.213593357423234,-0.124439427288819,1.25958887188921,-0.136711115917307,0.960838936013887,2
"39",0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,2,4,4,4,4,4,10,10,50,30,1,2,3,3,2,2,-1.29646975233995,-0.213593357423234,0.952346248865073,-1.03775162932499,-0.190903795947302,-0.551305181602184,1
"40",1,0,0,1,0,1,0,0,1,0,0,5,2,2,4,3,2,3,2,2,3,30,30,30,10,1,3,3,4,3,4,-0.301905125922158,-1.430247097707,0.789662867308978,0.569174192486003,1.91231769631266,0.156589396518876,1
"41",0,1,1,1,1,1,1,0,0,0,0,4,5,4,6,5,5,5,5,5,5,20,10,50,20,1,2,3,3,1,6,0.555335816762391,0.510087718632185,1.24632749446382,-0.259602408300095,-0.174041720587883,-0.752367566475937,2
"43",1,0,0,1,0,0,0,0,1,0,0,5,6,5,6,6,2,2,3,2,4,30,10,30,30,2,4,1,4,3,3,1.12752410796609,-1.36300123231261,0.234489131429145,0.493808704817811,-0.154775342593972,0.48762265881119,4
"44",0,0,0,0,0,0,0,0,0,0,1,2,4,2,4,2,4,4,3,1,4,0,0,100,0,2,6,2,2,2,1,-0.846346656917292,-0.929229475160044,3.64532715690996,-1.79173832441651,-1.24732314734627,0.597028936612075,4
"45",0,0,0,0,0,0,0,0,0,0,1,3,6,2,5,2,3,4,4,3,4,80,10,10,0,1,8,1,4,2,1,-0.351035490818643,-0.540752635417244,0.398575750789455,4.35981670203529,-0.0680606631623851,1.61069332310669,3
"46",0,0,0,1,1,0,0,0,0,0,0,4,5,2,4,4,4,4,5,5,4,30,20,10,40,1,3,1,4,5,3,0.0613341030719962,0.135494272645264,-0.793743609264359,0.506753340744919,0.881175479493838,0.558714166266382,1
"47",1,0,0,0,0,1,1,0,0,0,0,5,5,2,6,4,4,1,4,4,1,42,6,2,50,1,4,1,4,7,3,0.409997562936692,-0.905718592904437,-1.35191557311512,1.37788132144426,-0.544593436255707,1.2918721983062,3
"48",0,0,1,1,1,1,1,1,1,1,0,6,5,4,7,6,1,2,1,1,1,20,20,0,60,2,3,4,3,7,9,1.22036436436409,-2.21999861925598,-1.74063465917982,-0.283764934233469,0.865515555451666,0.785040005058893,3
"49",0,0,0,1,1,0,1,0,0,1,0,4,5,4,4,3,4,5,3,4,1,20,10,30,40,2,2,3,2,2,5,-0.0252729794568202,-0.412980113804747,-0.0594921141696014,-0.284340516207083,-0.171637417953391,-0.727104112557179,4
"50",1,1,0,1,1,1,1,0,1,1,0,2,4,2,6,4,3,3,3,3,4,20,10,20,50,2,2,3,4,2,7,-0.265737860698081,-0.871203987985094,-0.712401918486312,-0.296709570160577,-0.170435266636145,-0.37550625064719,2
"51",0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,5,3,5,5,3,20,10,35,35,2,3,1,3,4,1,-1.80713473203292,0.0486708949780495,0.266962787988754,-0.278155989230336,-0.172238493612014,0.181852850437635,4
"52",1,0,0,1,1,0,0,0,1,0,0,2,6,4,7,5,6,6,6,6,7,10,20,20,50,1,3,3,4,4,4,0.374911559226267,1.29983924018116,-0.728796296145141,-1.03717604735138,0.846249177457754,0.357651781392629,1
"53",0,0,0,0,0,0,1,0,0,0,0,2,1,3,4,2,3,4,3,3,6,20,30,25,25,1,2,3,3,2,2,-1.12577094359648,-0.574425130664467,0.169226719551877,-0.215159555515638,1.89605669661187,-0.551305181602184,1
"54",0,0,0,0,0,0,0,0,0,0,1,5,5,1,5,5,5,4,6,5,3,15,15,30,40,2,3,1,3,5,1,0.477477264416915,0.3791222475459,-0.0676893029990161,-0.654573754802482,0.336704804093558,0.382915235311387,4
"55",0,1,1,1,1,1,1,0,1,1,0,2,5,3,5,6,5,4,4,4,5,35,10,20,35,2,2,3,3,2,8,0.248091368750525,-0.00363787776982125,-0.271430050088193,0.870514261376764,-0.145142153597017,-0.551305181602184,2
"56",0,1,1,1,0,0,0,0,0,1,0,5,5,2,6,6,5,4,5,4,5,25,10,15,50,2,3,3,4,4,4,0.829304974037252,0.162175508464521,-0.891866197845294,0.0861805133751232,-0.161403153297812,0.357651781392629,2
"57",0,1,0,1,0,0,0,0,1,0,0,3,2,3,4,5,4,7,4,5,6,20,20,10,50,1,2,3,3,6,3,-0.195798552802955,0.595735676398565,-1.08772485486311,-0.271395880279975,0.864313404134419,0.252944357892827,2
"58",0,0,0,1,0,0,0,0,0,0,0,2,2,1,4,2,1,4,2,2,2,35,10,30,25,2,3,3,3,2,2,-1.1351683672213,-1.47556461102691,0.381479754228518,0.882883315330258,-0.146344304914263,-0.220271919309871,4
"59",0,0,0,1,0,1,1,0,0,1,0,2,2,1,4,2,3,3,3,3,3,30,10,30,30,1,2,3,3,1,5,-1.1351683672213,-0.937274433478653,0.234489131429145,0.493808704817811,-0.154775342593972,-0.752367566475937,1
"60",0,1,0,1,1,0,0,0,0,0,0,2,2,2,4,2,3,3,2,3,3,10,5,25,60,1,3,3,4,3,3,-1.07364505571057,-1.103087819713,-0.818721695896661,-1.08751563612577,-0.704671677380846,0.156589396518876,2
"61",1,0,0,1,1,0,1,1,1,1,0,5,4,5,5,5,5,4,5,5,5,20,10,20,50,2,2,3,2,1,7,0.609921311063202,0.345449752298677,-0.712401918486312,-0.296709570160577,-0.170435266636145,-0.928166497430931,4
"62",0,1,0,1,0,0,0,0,0,0,0,5,6,4,6,6,4,6,6,6,5,10,10,45,35,1,2,3,4,1,2,1.06600079645535,0.879928280874337,0.625891346706718,-1.04393615630174,-0.190302720288679,-0.576568635520943,2
"64",1,0,1,1,1,1,1,0,0,1,0,4,5,2,5,4,7,6,7,7,7,30,10,25,35,2,2,3,3,3,7,0.141984795631322,1.79281190440951,-0.0919657707292105,0.487624177841064,-0.154174266935349,-0.350242796728432,4
"65",0,1,0,1,1,1,0,0,0,1,0,3,4,3,3,5,4,4,5,5,4,30,5,40,25,1,2,3,3,1,5,-0.0491508465690016,0.135494272645264,0.748605501775897,0.487336386854257,-0.672750753637877,-0.752367566475937,2
